loan_id,member_id,loan_type,loan_amount,outstanding_balance,interest_rate,term_months,monthly_payment,origination_date,maturity_date,loan_status,purpose,collateral_type,loan_officer_id,branch_id
5001,3001,auto,28500.00,22400.50,4.25,60,530.75,2020-05-15,2025-05-15,current,vehicle_purchase,vehicle,201,101
5002,3003,mortgage,485000.00,462800.25,3.75,360,2245.80,2017-03-20,2047-03-20,current,home_purchase,real_estate,202,101
5003,3005,home_equity,75000.00,68200.40,5.50,120,805.25,2018-08-10,2028-08-10,current,home_improvement,real_estate,203,104
5004,3006,auto,42000.00,38750.80,3.95,72,625.90,2021-04-12,2027-04-12,current,vehicle_purchase,vehicle,204,105
5005,3008,personal,15000.00,12800.75,8.75,48,375.50,2019-11-25,2023-11-25,current,debt_consolidation,unsecured,205,101
5006,3010,mortgage,325000.00,312500.90,4.125,360,1575.25,2018-01-15,2048-01-15,current,home_purchase,real_estate,202,103
5007,3011,auto,35000.00,28900.60,4.50,60,652.40,2019-09-08,2024-09-08,current,vehicle_purchase,vehicle,201,104
5008,3012,mortgage,675000.00,658200.30,3.50,360,3025.75,2021-12-20,2051-12-20,current,home_purchase,real_estate,206,105
5009,3014,home_equity,50000.00,47800.25,5.25,96,625.80,2020-06-30,2028-06-30,current,home_improvement,real_estate,203,101
5010,3015,auto,22000.00,18750.40,4.75,48,502.30,2018-03-22,2022-03-22,paid_off,vehicle_purchase,vehicle,204,102
5011,3017,personal,25000.00,22100.85,7.95,60,505.60,2021-08-15,2026-08-15,current,home_improvement,unsecured,205,104
5012,3018,mortgage,850000.00,825400.50,3.25,360,3698.45,2019-01-10,2049-01-10,current,home_purchase,real_estate,206,105
5013,3020,auto,31000.00,25600.75,4.00,66,485.20,2017-02-28,2022-08-28,current,vehicle_purchase,vehicle,201,101
5014,3002,personal,10000.00,8750.30,9.25,36,318.75,2020-10-05,2023-10-05,current,medical_expenses,unsecured,205,102
5015,3004,home_equity,40000.00,38200.60,5.75,84,575.40,2021-01-18,2028-01-18,current,debt_consolidation,real_estate,203,103
5016,3007,auto,18500.00,15200.25,5.25,48,425.80,2020-12-10,2024-12-10,current,vehicle_purchase,vehicle,204,106
5017,3009,personal,8000.00,6850.40,8.50,24,375.90,2021-06-22,2023-06-22,current,vacation,unsecured,205,102
5018,3013,auto,26000.00,22400.85,4.85,60,485.75,2019-07-14,2024-07-14,current,vehicle_purchase,vehicle,201,106
5019,3016,personal,12000.00,10500.50,8.25,36,375.25,2020-08-30,2023-08-30,current,education,unsecured,205,103
5020,3019,auto,33000.00,29800.70,4.35,72,485.60,2021-03-05,2027-03-05,current,vehicle_purchase,vehicle,204,106
